,ingredients,id
0,"Aqua/Water/Eau, Ethoxydiglycol, Ascorbic Acid, Glycerin, Propylene Glycol, Laureth-23, Phenoxyethanol, Tocopherol, Triethanolamine, Ferulic Acid, Panthenol, Sodium Hyaluronate.",id0
1,"Aqua/Water/Eau, Dimethicone, Hydrogenated Polyisobutene, Glycerin, Cholesterol, C12-15 Alkyl Benzoate, Ceramide 3, Helianthus Annuus Seed Oil Unsaponifiables/Sunflower Seed Oil Unsaponifiables, Bis-Peg-18 Methyl Ether Dimethyl Silane, Sodium Polyacrylate, Peg-10 Dimethicone, Nylon-12, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Phenoxyethanol, Disteardimonium Hectorite, Hydroxyethylpiperazine Ethane Sulfonic Acid, Ammonium Polyacryloyldimethyl Taurate, Chlorphenesin, Caprylyl Glycol, Peg/Ppg-18/18 Dimethicone, Propylene Carbonate, Disodium Edta, Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, Adenosine, Dipropylene Glycol, Lavandula Angustifolia Oil/Lavender Oil, Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil, T-Butyl Alcohol, Mentha Piperita Oil/Peppermint Oil, Sodium Citrate, Linalool, Isobutane, Ceramide Eop, Bht, Tocopherol, Limonene, D182888/1.",id1
2,"Active: Zinc Oxide 9.0%, Octinoxate 7.5%. Inactive: Purified Water, Cyclomethicone, Niacinamide, Octyldodecyl Neopentanoate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, PEG-7 Trimethylolpropane Coconut Ether, Sodium Hyaluronate, Tocopheryl Acetate, Lactic Aciddedbqxrueqcqxqyxzdyryc, Oleth-3 Phosphate, Phenoxyethanol, Butylene Glycol, Iodopropynyl Butylcarbamate, Triethoxycaprylylsilane.",id2
3,"Water, Cyclohexasiloxane, Glycerin, Alcohol Denat., Hydroxypropyl Tetrahydropyrantriol, Propylene Glycol, Dipotassium Glycyrrhizate, Polysilicone-11, Polymethylsilsesquioxane, Sodium Hyaluronate, Dimethicone, Tocopherol, Phenoxyethanol, Capryloyl Salicylic Acid, Octyldodecanol, Bis-Peg/Ppg-16/16, Peg/Ppg-16/16 Dimethicone, Peg-20 Methyl Glucose Sesquistearate, Ammonium Polyacryloyldimethyl Taurate, Caprylyl Glycol, Xanthan Gum, Dextrin, Oryza Sativa Extract, Rice Extract, Disodium Edta , Caprylic/Capric Triglyceride, Sodium Hydroxide, Adenosine, Citrus Nobilis Peel Oil, Mandarin Orange Peel Oil, Limonene, T-Butyl Alcohol, Cellulose Acetate Butyrate, Polyphosphorylcholine Glycol Acrylate, Polyvinyl Alcohol, Sodium Chloride, Butylene Glycol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.",id3
4,"Water/Aqua, Dimethicone, HDI/Trimethylol Hexyllactone Crosspolymer, Glycerin, Butylene Glycol, Bis-PEG-8 Dimethicone, Polysilicone-11, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate Crosspolymer, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Vitis Vinifera (Grape) Flower Cell Extract, Vibrio Alginolyticus Ferment Filtrate, Alteromonas Ferment Extract, Porphyridium Cruentum Extract, Whey Protein, Plankton Extract, Trehalose, Urea, Serine, Algin, Caprylyl Glycol, Pullulan, Disodium Phosphate, Potassium Phosphate, Pentylene Glycol, Polymethylsilsesquioxane, Glyceryl Polyacrylate, Sodium Citrate, Sea Water, Sucrose Palmitate, Tocopheryl Acetate, Hydroxyacetophenone, Polysorbate 60, Propanediol, Potassium Sorbate, Citric Acid, Isohexadecane, Polysorbate 80, Silica, Decyl Glucoside, Tromethamine, Ethylhexylglycerin, Phenoxyethanol, Disodium EDTA.",id4
5,"Water/Aqua/Eau, Propanediol, Glycerin, Niacinamide, Dimethicone, Hydrolyzed Yeast Extract, Polyglyceryl-3 Beeswax, Coconut Alkanes, Phenoxyethanol, Isododecane, Jojoba Esters, Dimethicone Crosspolymer, Polysilicone-11, Sodium Hyaluronate, Sodium Benzoate, Carbomer, Xanthan Gum, Hydrolyzed Hyaluronic Acid, Cetyl Alcohol, Polyglyceryl-6 Distearate, Sodium Lauroyl Lactylate, Disodium Acetyl Glucosamine Phosphate, Hydrolyzed Glycosaminoglycans, Ethylhexylglycerin, Sodium Hydroxide, Hexylene Glycol, Polygonum Bistorta Root Extract, Cetyl Hydroxyethylcellulose, Rosmarinus Officinalis (Rosemary) Leaf Oil, Aroma, Polyglucuronic Acid, Ceramide NP, Hyaluronic Acid, Sodium Carrageenan, Ceramide AP, Phytosphingosine, Caprylyl Glycol, Cholesterol, Lecithin, Maris Sal, Ceramide EOP.",id5
6,"Water/aqua/eau, Glycerin, Dipropylene Glycol, Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Yeast Extract, Sodium Hyaluronate, Ceramide Eop, Ceramide Eos, Ceramide Ap, Ceramide Np, Ceramide Ns, Sambucus Nigra Fruit Extract, Hydrolyzed Silk, Sodium Pca, Tocopherol, Ascorbyl Palmitate, Caprooyl Phytosphingosine, Caprooyl Sphingosine, Saccharide Isomerate, Saccharomyces/magnesium Ferment, Saccharomyces/iron Ferment, Saccharomyces/copper Ferment, Saccharomyces/silicon Ferment, Saccharomyces/zinc Ferment, Olea Europaea (olive) Leaf Extract, Methyl Gluceth-20, Ethylhexylglycerin, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Cholesterol, Sodium Chloride, Sodium Citrate, Citric Acid, Behenic Acid, Propylene Glycol, Ceteareth-25, Butylene Glycol, Dimethicone/peg-10/15 Crosspolymer, Cetyl Alcohol, Disodium Edta, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Mica.",id6
7,"Active: Avobenzone 3%, Octisalate 5%, Octocrylene 10%. Inactive: Water, Propanediol, Butyloctyl Salicylate, Glycerin, C12-15 Alkyl Benzoate, Polymethylsilsesquioxane, Niacinamide, Glyceryl Stearate Citrate, Bismuth Oxychloride, Mica, Titanium Dioxide, Lauryl Lactate, Isododecane, Isodecyl Neopentanoate, Glyceryl Stearate, Diisopropyl Sebacate, Cetyl Phosphate, Caprylic/Capric Triglyceride, Coco-Caprylate, Ethylhexyl Hydroxystearate, Butylene Glycol, Arginine, Hydroxyacetophenone, Caprylyl Glycol, 1,2-Hexanediol, Iron Oxides, Sodium Hyaluronate, Chlorphenesin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium Ethylenediamine Disuccinate, Phospholipids, Limonium Gerberi Extract, Leuconostoc/ Radish Root Ferment Filtrate, Theobroma Cacao (Cocoa) Seed Extract, Pantothenic Acid, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Ferulic Acid.",id7
8,"Water, Polysorbate 80, Caprylic/Capric Triglyceride, Polysorbate 20, Butylene Glycol, Persea Gratissima (Avocado) Oil, Glycerin, Dimethicone, Retinol,Magnesium Ascorbyl Phosphate, Colloidal Oatmeal, Tocopherol, Hydrolyzed Hyaluronic Acid, Ceramide NP, Acetyl Hexapeptide-8, Linoleic Acid, Allantoin, Phytosteryl Canola Glycerides, Palmitic Acid, Oleic Acid, Glycine Soja (Soybean) Oil, Hydroxypropyl Cyclodextrin, Aloe Barbadensis Leaf Juice, Triolein, Caprylyl Glycol,Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Lecithin, Stearic Acid, Maltodextrin, BHT, BHA, Phenoxyethanol, Sodium Hydroxide, Potassium Sorbate.",id8
9,"Human Fibroblast Conditioned Media, Water/Aqua/Eau, Cetyl Ethylhexanoate, Olea Europaea (Olive) Fruit Unsaponifiables, Alpha-Arbutin, Isoceteth-20, Arachidyl Alcohol, Glycerin, Ethoxydiglycol, Butyrospermum Parkii (Shea) Butter, Dimethicone, Tetrahexyldecyl Ascorbate, Dipalmitoyl Hydroxyproline, Palmitoyl Tripeptide-5, Ergothioneine, Hydrolyzed Sericin, Phospholipids, Ubiquinone, Rubus Fruticosus (Blackberry) Leaf Extract, Saccharomyces Ferment Lysate Filtrate, Aminobutyric Acid, Phytosterols, Tocopherol, Tocotrienols, Squalene, Oryza Sativa (Rice) Bran Wax (Oryza Sativa Cera), Sodium Hyaluronate, Tocopheryl Acetate, Camellia Oleifera Leaf Extract, Ethylhexyl Palmitate, Silica Dimethyl Silylate, Polyacrylate-13, Polyisobutene, Polysorbate 20, Behenyl Alcohol, Arachidyl Glucoside, Cetearyl Alcohol, Steareth-10, Steareth-20, Butylene Glycol, Maltodextrin, C12-15 Alkyl Benzoate, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, Disodium EDTA, Caprylyl Glycol, Caprylhydroxamic Acid, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Parfum/Fragrance, Hydroxycitronellal, Linalool, Coumarin, Alpha-Isomethyl Ionone, Geraniol, Isoeugenol.",id9
